[2024-08-04 18:50:29.521] [info]  App starting...
[2024-08-04 18:50:29.671] [info]  Extension backends directory does not yet exist, creating at /home/kan/.cache/lm-studio/extensions/backends
[2024-08-04 18:50:30.184] [info]  Creating config map file at /home/kan/.cache/lm-studio/config-presets/config.map.json
[2024-08-04 18:50:30.185] [info]  Downloads folder from settings.json: /home/kan/.cache/lm-studio/models/
[2024-08-04 18:50:30.186] [error] Not able to resolve models directory from settings.json. Got: 'Error: ENOENT: no such file or directory, stat '/home/kan/.cache/lm-studio/models/''. Fallback to default downloads folder.
[2024-08-04 18:50:30.186] [info]  Default models folder doesn't exist. Creating it at /home/kan/.cache/lm-studio/models/
[2024-08-04 18:50:30.265] [info]  Current downloads folder: /home/kan/.cache/lm-studio/models/
[2024-08-04 18:50:30.749] [info]  [AppUpdater] Checking for updates... (current state: idle)
[2024-08-04 18:50:30.749] [info]  AppUpdater state changed to checking-for-updates-periodic
[2024-08-04 18:50:30.749] [info]  [AppUpdater] Fetching version info from https://versions.lmstudio.ai
[2024-08-04 18:50:30.766] [info]  First model catalog download.
[2024-08-04 18:50:30.770] [info]  Current downloads folder: /home/kan/.cache/lm-studio/models/
[2024-08-04 18:50:30.887] [info]  Downloaded model catalog from https://raw.githubusercontent.com/lmstudio-ai/model-catalog/main/catalog.json.
[2024-08-04 18:50:30.887] [info]  Loaded existing catalog: Contains 0 models.
[2024-08-04 18:50:30.889] [info]  Replaced catalog.
[2024-08-04 18:50:30.889] [error] No callback defined for new catalog.
[2024-08-04 18:50:30.898] [info]  AppUpdater state changed to idle
[2024-08-04 18:50:30.925] [info]  Last model catalog download was 159ms ago. Skipping.
[2024-08-04 18:50:31.280] [info]  Checking if LM Studio dev tools exist on the system...
[2024-08-04 18:50:31.288] [info]  LM Studio dev tools are not present, copying them over to .cache/lm-studio/bin...
[2024-08-04 18:52:16.602] [info]  Current downloads folder: /home/kan/.cache/lm-studio/models/
[2024-08-04 18:53:28.979] [info]  Current downloads folder: /home/kan/.cache/lm-studio/models/
[2024-08-04 18:58:08.291] [info]  Current downloads folder: /home/kan/.cache/lm-studio/models/
[2024-08-04 19:00:14.076] [info]  Current downloads folder: /home/kan/.cache/lm-studio/models/
